disabledNode	disabledLink	pCongFixed	Result
2	1	0	32.5833333333
2	1	0.3	43.3095238095
2	1	0.6	48.6666666667
2	1	0.9	66.1666666667
2	2	0	32.5833333333
2	2	0.3	43.3095238095
2	2	0.6	48.6666666667
2	2	0.9	66.1666666667
2	3	0	Infinity
2	3	0.3	Infinity
2	3	0.6	Infinity
2	3	0.9	Infinity
2	4	0	32.5833333333
2	4	0.3	43.3095238095
2	4	0.6	48.6666666667
2	4	0.9	66.1666666667
2	5	0	32.5833333333
2	5	0.3	43.3095238095
2	5	0.6	48.6666666667
2	5	0.9	66.1666666667
2	6	0	32.5833333333
2	6	0.3	43.3095238095
2	6	0.6	48.6666666667
2	6	0.9	66.1666666667
2	7	0	32.5833333333
2	7	0.3	43.3095238095
2	7	0.6	48.6666666667
2	7	0.9	66.1666666667
2	8	0	32.5833333333
2	8	0.3	43.3095238095
2	8	0.6	48.6666666667
2	8	0.9	66.1666666667
2	9	0	32.5833333333
2	9	0.3	45.4523809524
2	9	0.6	74.75
2	9	0.9	150.166666667
2	10	0	32.5833333333
2	10	0.3	43.3095238095
2	10	0.6	48.6666666667
2	10	0.9	66.1666666667
2	11	0	32.5833333333
2	11	0.3	43.3095238095
2	11	0.6	48.6666666667
2	11	0.9	66.1666666667
2	12	0	32.5833333333
2	12	0.3	43.3095238095
2	12	0.6	48.6666666667
2	12	0.9	66.1666666667
2	13	0	32.5833333333
2	13	0.3	43.3095238095
2	13	0.6	48.6666666667
2	13	0.9	66.1666666667
2	14	0	32.5833333333
2	14	0.3	44.4761904762
2	14	0.6	68.5833333333
2	14	0.9	147.333333333
2	15	0	32.5833333333
2	15	0.3	43.3095238095
2	15	0.6	48.6666666667
2	15	0.9	66.1666666667
2	16	0	35.0833333333
2	16	0.3	43.3095238095
2	16	0.6	48.6666666667
2	16	0.9	66.1666666667
2	17	0	32.5833333333
2	17	0.3	43.3095238095
2	17	0.6	48.6666666667
2	17	0.9	66.1666666667
2	18	0	32.5833333333
2	18	0.3	43.3095238095
2	18	0.6	48.6666666667
2	18	0.9	66.1666666667
2	19	0	32.5833333333
2	19	0.3	43.3095238095
2	19	0.6	48.6666666667
2	19	0.9	66.1666666667
2	20	0	32.5833333333
2	20	0.3	44.4761904762
2	20	0.6	68.3333333333
2	20	0.9	138.333333333
2	21	0	32.5833333333
2	21	0.3	43.3095238095
2	21	0.6	48.6666666667
2	21	0.9	66.1666666667
2	22	0	35.0833333333
2	22	0.3	43.3095238095
2	22	0.6	48.6666666667
2	22	0.9	66.1666666667
2	23	0	32.5833333333
2	23	0.3	43.3095238095
2	23	0.6	48.6666666667
2	23	0.9	66.1666666667
2	24	0	32.5833333333
2	24	0.3	43.3095238095
2	24	0.6	48.6666666667
2	24	0.9	66.1666666667
2	25	0	35.0833333333
2	25	0.3	47.9642857143
2	25	0.6	74.75
2	25	0.9	162.25
3	1	0	32.5833333333
3	1	0.3	43.3095238095
3	1	0.6	48.6666666667
3	1	0.9	66.1666666667
3	2	0	32.5833333333
3	2	0.3	43.3095238095
3	2	0.6	48.6666666667
3	2	0.9	66.1666666667
3	3	0	32.5833333333
3	3	0.3	45.4523809524
3	3	0.6	73.6666666667
3	3	0.9	126.166666667
3	4	0	32.5833333333
3	4	0.3	43.3095238095
3	4	0.6	48.6666666667
3	4	0.9	66.1666666667
3	5	0	32.5833333333
3	5	0.3	43.3095238095
3	5	0.6	48.6666666667
3	5	0.9	66.1666666667
3	6	0	32.5833333333
3	6	0.3	43.3095238095
3	6	0.6	48.6666666667
3	6	0.9	66.1666666667
3	7	0	32.5833333333
3	7	0.3	43.3095238095
3	7	0.6	48.6666666667
3	7	0.9	66.1666666667
3	8	0	32.5833333333
3	8	0.3	43.3095238095
3	8	0.6	48.6666666667
3	8	0.9	66.1666666667
3	9	0	32.5833333333
3	9	0.3	45.4523809524
3	9	0.6	74.75
3	9	0.9	150.166666667
3	10	0	32.5833333333
3	10	0.3	43.3095238095
3	10	0.6	48.6666666667
3	10	0.9	66.1666666667
3	11	0	32.5833333333
3	11	0.3	43.3095238095
3	11	0.6	48.6666666667
3	11	0.9	66.1666666667
3	12	0	32.5833333333
3	12	0.3	43.3095238095
3	12	0.6	48.6666666667
3	12	0.9	66.1666666667
3	13	0	32.5833333333
3	13	0.3	43.3095238095
3	13	0.6	48.6666666667
3	13	0.9	66.1666666667
3	14	0	32.5833333333
3	14	0.3	44.4761904762
3	14	0.6	68.5833333333
3	14	0.9	147.333333333
3	15	0	32.5833333333
3	15	0.3	43.3095238095
3	15	0.6	48.6666666667
3	15	0.9	66.1666666667
3	16	0	35.0833333333
3	16	0.3	43.3095238095
3	16	0.6	48.6666666667
3	16	0.9	66.1666666667
3	17	0	32.5833333333
3	17	0.3	43.3095238095
3	17	0.6	48.6666666667
3	17	0.9	66.1666666667
3	18	0	32.5833333333
3	18	0.3	43.3095238095
3	18	0.6	48.6666666667
3	18	0.9	66.1666666667
3	19	0	32.5833333333
3	19	0.3	43.3095238095
3	19	0.6	48.6666666667
3	19	0.9	66.1666666667
3	20	0	32.5833333333
3	20	0.3	44.4761904762
3	20	0.6	68.3333333333
3	20	0.9	138.333333333
3	21	0	32.5833333333
3	21	0.3	43.3095238095
3	21	0.6	48.6666666667
3	21	0.9	66.1666666667
3	22	0	35.0833333333
3	22	0.3	43.3095238095
3	22	0.6	48.6666666667
3	22	0.9	66.1666666667
3	23	0	32.5833333333
3	23	0.3	43.3095238095
3	23	0.6	48.6666666667
3	23	0.9	66.1666666667
