disabledNode	disabledLink	Result
2	1	52.8333333333
2	2	52.8333333333
2	3	Infinity
2	4	52.8333333333
2	5	52.8333333333
2	6	52.8333333333
2	7	52.8333333333
2	8	52.8333333333
2	9	53.2579365079
2	10	52.8333333333
2	11	52.8333333333
2	12	52.8333333333
2	13	52.8333333333
2	14	53.2579365079
2	15	52.8333333333
2	16	52.8333333333
2	17	52.8333333333
2	18	52.8333333333
2	19	52.8333333333
2	20	53.2579365079
2	21	52.8333333333
2	22	52.8333333333
2	23	52.8333333333
2	24	52.8333333333
2	25	53.2579365079
3	1	52.8333333333
3	2	46.5119047619
3	3	46.5119047619
3	4	52.8333333333
3	5	46.5119047619
3	6	46.5119047619
3	7	46.5119047619
3	8	46.5119047619
3	9	46.5119047619
3	10	51.5714285714
3	11	46.5119047619
3	12	46.5119047619
3	13	48.4484126984
3	14	46.5119047619
3	15	46.5119047619
3	16	46.5119047619
3	17	46.5119047619
3	18	48.4484126984
3	19	46.5119047619
3	20	46.5119047619
3	21	46.5119047619
3	22	46.5119047619
3	23	46.5119047619
3	24	46.5119047619
3	25	46.5119047619
4	1	Infinity
4	2	46.5119047619
4	3	46.5119047619
4	4	58.6547619048
4	5	46.5119047619
4	6	46.5119047619
4	7	46.5119047619
4	8	46.5119047619
4	9	46.5119047619
4	10	51.5714285714
4	11	46.5119047619
4	12	46.5119047619
4	13	48.4484126984
4	14	46.5119047619
4	15	46.5119047619
4	16	46.5119047619
4	17	46.5119047619
4	18	48.4484126984
4	19	46.5119047619
4	20	46.5119047619
4	21	46.5119047619
4	22	46.5119047619
4	23	46.5119047619
4	24	46.5119047619
4	25	46.5119047619
5	1	52.8333333333
5	2	52.8333333333
5	3	58.6547619048
5	4	52.8333333333
5	5	52.8333333333
5	6	52.8333333333
5	7	52.8333333333
5	8	52.8333333333
5	9	58.6547619048
5	10	52.8333333333
5	11	52.8333333333
5	12	52.8333333333
5	13	52.8333333333
5	14	58.6547619048
5	15	52.8333333333
5	16	52.8333333333
5	17	52.8333333333
5	18	52.8333333333
5	19	52.8333333333
5	20	57.2222222222
5	21	52.8333333333
5	22	52.8333333333
5	23	52.8333333333
5	24	52.8333333333
5	25	58.6547619048
6	1	52.8333333333
6	2	46.5119047619
6	3	46.5119047619
6	4	52.8333333333
6	5	46.5119047619
6	6	46.5119047619
6	7	46.5119047619
6	8	46.5119047619
6	9	46.5119047619
6	10	52.8333333333
6	11	46.5119047619
6	12	46.5119047619
6	13	48.4484126984
6	14	46.5119047619
6	15	46.5119047619
6	16	46.5119047619
6	17	46.5119047619
6	18	48.4484126984
6	19	46.5119047619
6	20	46.5119047619
6	21	46.5119047619
6	22	46.5119047619
6	23	46.5119047619
6	24	46.5119047619
6	25	46.5119047619
7	1	52.8333333333
7	2	46.5119047619
7	3	46.5119047619
7	4	52.8333333333
7	5	46.5119047619
7	6	46.5119047619
7	7	46.5119047619
7	8	46.5119047619
7	9	46.5119047619
7	10	52.8333333333
7	11	46.5119047619
7	12	46.5119047619
7	13	48.4484126984
7	14	46.5119047619
7	15	46.5119047619
7	16	46.5119047619
7	17	46.5119047619
7	18	48.4484126984
7	19	46.5119047619
7	20	46.5119047619
7	21	46.5119047619
7	22	46.5119047619
7	23	46.5119047619
7	24	46.5119047619
7	25	46.5119047619
8	1	53.2579365079
8	2	46.5119047619
8	3	46.5119047619
8	4	53.2579365079
8	5	46.5119047619
8	6	46.5119047619
8	7	46.5119047619
8	8	46.5119047619
8	9	46.5119047619
8	10	51.5714285714
8	11	46.5119047619
8	12	46.5119047619
8	13	48.4484126984
8	14	46.5119047619
8	15	46.5119047619
8	16	46.5119047619
8	17	46.5119047619
8	18	48.4484126984
8	19	46.5119047619
8	20	46.5119047619
8	21	46.5119047619
8	22	46.5119047619
8	23	46.5119047619
8	24	46.5119047619
8	25	46.5119047619
9	1	52.8333333333
9	2	51.5714285714
9	3	51.5714285714
9	4	52.8333333333
9	5	51.5714285714
9	6	51.5714285714
9	7	52.8333333333
9	8	52.8333333333
9	9	51.5714285714
9	10	51.5714285714
9	11	52.8333333333
9	12	51.5714285714
9	13	51.5714285714
9	14	51.5714285714
9	15	51.5714285714
9	16	51.5714285714
9	17	51.5714285714
9	18	52.8333333333
9	19	51.5714285714
9	20	51.5714285714
9	21	51.5714285714
9	22	51.5714285714
9	23	51.5714285714
9	24	51.5714285714
9	25	51.5714285714
10	1	52.8333333333
10	2	48.4484126984
10	3	48.4484126984
10	4	52.8333333333
10	5	48.4484126984
10	6	48.4484126984
10	7	48.4484126984
10	8	48.4484126984
10	9	48.4484126984
10	10	52.8333333333
10	11	48.4484126984
10	12	48.4484126984
10	13	48.4484126984
10	14	48.4484126984
10	15	48.4484126984
10	16	49.4206349206
10	17	48.4484126984
10	18	48.4484126984
10	19	48.4484126984
10	20	48.4484126984
10	21	48.4484126984
10	22	49.4206349206
10	23	48.4484126984
10	24	48.4484126984
10	25	Infinity
11	1	53.2579365079
11	2	46.5119047619
11	3	46.5119047619
11	4	53.2579365079
11	5	46.5119047619
11	6	46.5119047619
11	7	46.5119047619
11	8	46.5119047619
11	9	46.5119047619
11	10	51.5714285714
11	11	46.5119047619
11	12	46.5119047619
11	13	48.4484126984
11	14	46.5119047619
11	15	46.5119047619
11	16	46.5119047619
11	17	46.5119047619
11	18	48.4484126984
11	19	46.5119047619
11	20	46.5119047619
11	21	46.5119047619
11	22	46.5119047619
11	23	46.5119047619
11	24	46.5119047619
11	25	46.5119047619
12	1	52.8333333333
12	2	46.5119047619
12	3	46.5119047619
12	4	52.8333333333
12	5	46.5119047619
12	6	46.5119047619
12	7	46.5119047619
12	8	46.5119047619
12	9	46.5119047619
12	10	51.5714285714
12	11	46.5119047619
12	12	46.5119047619
12	13	48.4484126984
12	14	46.5119047619
12	15	46.5119047619
12	16	46.5119047619
12	17	46.5119047619
12	18	48.4484126984
12	19	46.5119047619
12	20	46.5119047619
12	21	46.5119047619
12	22	46.5119047619
12	23	46.5119047619
12	24	46.5119047619
12	25	46.5119047619
13	1	52.8333333333
13	2	46.5119047619
13	3	46.5119047619
13	4	52.8333333333
13	5	46.5119047619
13	6	46.5119047619
13	7	46.5119047619
13	8	46.5119047619
13	9	46.5119047619
13	10	51.5714285714
13	11	46.5119047619
13	12	46.5119047619
13	13	49.4206349206
13	14	46.5119047619
13	15	46.5119047619
13	16	46.5119047619
13	17	46.5119047619
13	18	49.4206349206
13	19	46.5119047619
13	20	46.5119047619
13	21	46.5119047619
13	22	46.5119047619
13	23	46.5119047619
13	24	46.5119047619
13	25	46.5119047619
14	1	53.2579365079
14	2	46.5119047619
14	3	46.5119047619
14	4	53.2579365079
14	5	46.5119047619
14	6	46.5119047619
14	7	46.5119047619
14	8	46.5119047619
14	9	46.5119047619
14	10	51.5714285714
14	11	46.5119047619
14	12	46.5119047619
14	13	48.4484126984
14	14	46.5119047619
14	15	46.5119047619
14	16	46.5119047619
14	17	46.5119047619
14	18	48.4484126984
14	19	46.5119047619
14	20	46.5119047619
14	21	46.5119047619
14	22	46.5119047619
14	23	46.5119047619
14	24	46.5119047619
14	25	46.5119047619
15	1	52.8333333333
15	2	46.5119047619
15	3	46.5119047619
15	4	52.8333333333
15	5	46.5119047619
15	6	46.5119047619
15	7	46.5119047619
15	8	46.5119047619
15	9	46.5119047619
15	10	51.5714285714
15	11	46.5119047619
15	12	46.5119047619
15	13	48.4484126984
15	14	46.5119047619
15	15	46.5119047619
15	16	46.5119047619
15	17	46.5119047619
15	18	48.4484126984
15	19	46.5119047619
15	20	46.5119047619
15	21	46.5119047619
15	22	46.5119047619
15	23	46.5119047619
15	24	46.5119047619
15	25	46.5119047619
16	1	53.2579365079
16	2	46.5119047619
16	3	46.5119047619
16	4	53.2579365079
16	5	46.5119047619
16	6	46.5119047619
16	7	46.5119047619
16	8	46.5119047619
16	9	46.5119047619
16	10	51.5714285714
16	11	46.5119047619
16	12	46.5119047619
16	13	51.5714285714
16	14	46.5119047619
16	15	46.5119047619
16	16	46.5119047619
16	17	46.5119047619
16	18	Infinity
16	19	46.5119047619
16	20	46.5119047619
16	21	46.5119047619
16	22	46.5119047619
16	23	46.5119047619
16	24	46.5119047619
16	25	46.5119047619
