allStations	lanes4Bus	pCongFixed	Result
1	0	0	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (71.41666666666667, 26.0006), (69.25, 31.0005), (66.16666666666667, 41.0005), (63.16666666666667, 51.000600000000006)]
1	0	0.1	[(80.16666666666667, 21.0005), (123.5, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (76.0, 26.0006), (73.58333333333333, 31.0005), (70.16666666666666, 41.0005), (66.83333333333333, 51.000600000000006)]
1	0	0.2	[(86.41666666666666, 21.0005), (127.66666666666666, 13.000499999999999), (70.16666666666666, 101.0006), (71.41666666666667, 51.000600000000006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (81.72916666666667, 26.0006), (79.0, 31.0005), (75.16666666666667, 41.0005)]
1	0	0.3	[(94.45238095238095, 21.0005), (133.02380952380952, 13.000499999999999), (70.16666666666666, 101.0006), (77.30952380952381, 51.000600000000006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (89.0952380952381, 26.0006), (85.96428571428572, 31.0005), (81.59523809523809, 41.0005)]
1	0	0.4	[(105.16666666666666, 21.0005), (140.16666666666666, 13.000499999999999), (70.16666666666666, 101.0006), (85.16666666666667, 51.000600000000006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (98.91666666666666, 26.0006), (95.24999999999999, 31.0005), (90.16666666666666, 41.0005)]
1	0	0.5	[(70.16666666666666, 101.0006), (96.16666666666666, 51.000600000000006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (150.16666666666666, 13.000499999999999), (120.16666666666666, 21.0005), (112.66666666666666, 26.0006), (108.24999999999999, 31.0005), (102.16666666666666, 41.0005)]
1	0	0.6	[(70.16666666666666, 101.0006), (122.5, 37.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (165.16666666666669, 13.000499999999999), (142.66666666666666, 21.0005), (133.29166666666666, 26.0006), (127.74999999999999, 31.0005)]
1	0	0.7	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (143.66666666666669, 33.0005), (138.75, 37.0005), (70.16666666666666, 101.0006)]
1	0	0.8	[(70.16666666666666, 101.0006), (163.58333333333334, 24.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	0	0.9	[(70.16666666666666, 101.0006), (163.58333333333334, 24.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	0	1	[(70.16666666666666, 101.0006), (163.58333333333334, 24.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (71.41666666666667, 26.0006), (69.25, 31.0005), (66.16666666666667, 41.0005), (63.16666666666667, 51.000600000000006)]
1	1	0.1	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (70.33333333333333, 31.0006), (66.83333333333333, 51.000600000000006)]
1	1	0.2	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.3	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.4	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.5	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.6	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.7	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.8	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	0.9	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
1	1	1	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (71.41666666666667, 26.0006), (70.16666666666666, 101.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
2	0	0	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.833333333333336, 30.0006), (46.66666666666667, 35.0005), (43.666666666666664, 45.0005), (40.66666666666666, 55.000600000000006)]
2	0	0.1	[(58.41666666666667, 25.0005), (123.5, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (54.25, 30.0006), (51.83333333333334, 35.0005), (48.5, 45.0005), (45.16666666666667, 55.000600000000006)]
2	0	0.2	[(65.70833333333333, 25.0005), (127.66666666666666, 13.000499999999999), (49.541666666666664, 105.0006), (50.79166666666667, 55.000600000000006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (61.020833333333336, 30.0006), (58.29166666666667, 35.0005), (54.54166666666667, 45.0005)]
2	0	0.3	[(75.08333333333333, 25.0005), (133.02380952380952, 13.000499999999999), (50.88095238095238, 105.0006), (58.02380952380952, 55.000600000000006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (69.72619047619048, 30.0006), (66.5952380952381, 35.0005), (62.30952380952381, 45.0005)]
2	0	0.4	[(87.58333333333333, 25.0005), (140.16666666666666, 13.000499999999999), (52.666666666666664, 105.0006), (68.66666666666667, 50.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (81.33333333333333, 30.0006), (71.16666666666666, 45.0005), (77.66666666666666, 35.0005)]
2	0	0.5	[(105.08333333333333, 25.0005), (150.16666666666666, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (97.58333333333333, 30.0006), (82.66666666666666, 45.0005), (79.66666666666667, 50.0005), (55.166666666666664, 105.0006)]
2	0	0.6	[(99.91666666666666, 45.0005), (121.95833333333333, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (165.16666666666669, 13.000499999999999), (131.33333333333334, 25.0005), (96.16666666666667, 50.0005), (58.91666666666666, 105.0006)]
2	0	0.7	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (128.66666666666669, 45.0005), (133.75, 41.0005), (65.16666666666666, 105.0006), (187.75, 10.000599999999999)]
2	0	0.8	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (77.66666666666666, 105.0006)]
2	0	0.9	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (115.16666666666666, 105.0006)]
2	0	1	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005)]
2	1	0	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.833333333333336, 30.0006), (46.66666666666667, 35.0005), (43.666666666666664, 45.0005), (40.66666666666666, 55.000600000000006)]
2	1	0.1	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (47.75, 35.0006), (46.0, 45.000600000000006), (44.333333333333336, 55.000600000000006)]
2	1	0.2	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.3	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.4	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.5	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.6	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.7	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.8	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	0.9	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
2	1	1	[(52.583333333333336, 25.0005), (120.16666666666667, 13.000499999999999), (48.833333333333336, 30.0006), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (48.083333333333336, 45.000600000000006), (47.41666666666667, 60.000600000000006)]
3	0	0	[(75.16666666666667, 21.0005), (120.16666666666667, 13.000499999999999), (51.166666666666664, 30.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (47.416666666666664, 35.0006), (45.25, 40.0005), (42.08333333333333, 50.0005), (39.08333333333332, 60.000600000000006)]
3	0	0.1	[(80.16666666666667, 21.0005), (123.5, 13.000499999999999), (56.833333333333336, 30.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (52.66666666666667, 35.0006), (50.25, 40.0005), (46.74999999999999, 50.0005), (43.416666666666664, 60.000600000000006)]
3	0	0.2	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (127.66666666666666, 13.000499999999999), (86.41666666666666, 21.0005), (63.916666666666664, 30.0005), (48.083333333333336, 70.0006), (48.833333333333336, 60.000600000000006), (47.41666666666667, 80.0006), (59.22916666666667, 35.0006), (56.50000000000001, 40.0005), (52.583333333333336, 50.0005)]
3	0	0.3	[(195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (133.02380952380952, 13.000499999999999), (94.45238095238095, 21.0005), (73.02380952380952, 30.0005), (48.738095238095234, 110.0006), (52.238095238095234, 80.0006), (67.66666666666667, 35.0006), (64.53571428571428, 40.0005), (60.08333333333333, 50.0005), (55.797619047619044, 60.000600000000006), (53.97619047619047, 70.0006)]
3	0	0.4	[(50.166666666666664, 110.0006), (63.583333333333336, 60.0005), (195.08333333333334, 6.0005999999999995), (210.08333333333334, 5.0005), (140.16666666666666, 13.000499999999999), (105.16666666666666, 21.0005), (85.16666666666666, 30.0005), (78.91666666666666, 35.0006), (75.24999999999999, 40.0005), (66.25, 55.0005)]
