allStations	lanes4Bus	pCongFixed	Result
1	0	0	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (114.16666666666667, 10.0003), (66.16666666666667, 20.0001), (63.16666666666667, 25.0001)]
1	0	0.1	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (116.83333333333333, 10.0003), (70.16666666666666, 20.0001), (66.83333333333333, 25.0001)]
1	0	0.2	[(75.16666666666667, 20.0001), (120.16666666666667, 10.0003), (71.41666666666667, 25.0001), (70.16666666666666, 50.0001), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
1	0	0.3	[(81.59523809523809, 20.0001), (124.45238095238095, 10.0003), (77.30952380952381, 25.0001), (70.16666666666666, 50.0001), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
1	0	0.4	[(90.16666666666666, 20.0001), (130.16666666666666, 10.0003), (85.16666666666667, 25.0001), (70.16666666666666, 50.0001), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
1	0	0.5	[(102.16666666666666, 20.0001), (138.16666666666666, 10.0003), (96.16666666666666, 25.0001), (70.16666666666666, 50.0001), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
1	0	0.6	[(70.16666666666666, 50.0001), (118.66666666666667, 20.0002), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (150.16666666666666, 10.0003), (133.66666666666666, 15.0003)]
1	0	0.7	[(70.16666666666666, 50.0001), (143.66666666666669, 15.0003), (195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4)]
1	0	0.8	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (163.58333333333334, 10.000399999999999), (140.16666666666666, 20.0004), (70.16666666666666, 50.0001)]
1	0	0.9	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (163.58333333333334, 10.000399999999999), (140.16666666666666, 20.0004), (70.16666666666666, 50.0001)]
1	0	1	[(195.08333333333334, 6.000000000000001E-4), (210.08333333333334, 5.0E-4), (163.58333333333334, 10.000399999999999), (140.16666666666666, 20.0004), (70.16666666666666, 50.0001)]
