allStations	lanes4Bus	pCongFixed	Result
1	0	0	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (63.16666666666667, 2.0004)]
1	0	0.1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (66.83333333333333, 2.0004)]
1	0	0.2	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.3	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.4	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.5	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.6	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.7	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.8	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	0.9	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	0	1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (63.16666666666667, 2.0004)]
1	1	0.1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (66.83333333333333, 2.0004)]
1	1	0.2	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.3	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.4	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.5	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.6	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.7	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.8	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	0.9	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
1	1	1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
2	0	0	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (40.66666666666666, 2.0004)]
2	0	0.1	[(54.25, 1.0005), (58.41666666666667, 1.0004), (45.16666666666667, 2.0004)]
2	0	0.2	[(61.020833333333336, 1.0005), (65.70833333333333, 1.0004), (49.541666666666664, 2.0004)]
2	0	0.3	[(69.72619047619048, 1.0005), (75.08333333333333, 1.0004), (50.88095238095238, 2.0004)]
2	0	0.4	[(81.33333333333333, 1.0005), (87.58333333333333, 1.0004), (52.666666666666664, 2.0004)]
2	0	0.5	[(97.58333333333333, 1.0005), (105.08333333333333, 1.0004), (55.166666666666664, 2.0004)]
2	0	0.6	[(121.95833333333333, 1.0005), (131.33333333333334, 1.0004), (58.91666666666666, 2.0004)]
2	0	0.7	[(162.58333333333334, 1.0005), (175.08333333333334, 1.0004), (65.16666666666666, 2.0004)]
2	0	0.8	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (77.66666666666666, 2.0004)]
2	0	0.9	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (115.16666666666666, 2.0004)]
2	0	1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004)]
2	1	0	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (40.66666666666666, 2.0004)]
2	1	0.1	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (44.333333333333336, 2.0004)]
2	1	0.2	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.3	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.4	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.5	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.6	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.7	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.8	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	0.9	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
2	1	1	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
3	0	0	[(39.08333333333332, 1.0005), (42.08333333333333, 1.0004)]
3	0	0.1	[(43.416666666666664, 1.0005), (46.74999999999999, 1.0004)]
3	0	0.2	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
3	0	0.3	[(55.797619047619044, 1.0005), (60.08333333333333, 1.0004), (48.738095238095234, 2.0004)]
3	0	0.4	[(65.08333333333333, 1.0005), (70.08333333333333, 1.0004), (50.166666666666664, 2.0004)]
3	0	0.5	[(78.08333333333333, 1.0005), (84.08333333333333, 1.0004), (52.166666666666664, 2.0004)]
3	0	0.6	[(97.58333333333333, 1.0005), (105.08333333333333, 1.0004), (55.166666666666664, 2.0004)]
3	0	0.7	[(130.08333333333334, 1.0005), (140.08333333333334, 1.0004), (60.16666666666666, 2.0004)]
3	0	0.8	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
3	0	0.9	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (100.16666666666666, 2.0004)]
3	0	1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004)]
3	1	0	[(39.083333333333336, 1.0005), (42.083333333333336, 1.0004)]
3	1	0.1	[(43.416666666666664, 1.0005), (46.74999999999999, 1.0004)]
3	1	0.2	[(48.833333333333336, 1.0005), (52.583333333333336, 1.0004), (47.666666666666664, 2.0004), (47.41666666666667, 4.0001999999999995)]
3	1	0.3	[(55.797619047619044, 1.0005), (60.08333333333333, 1.0004), (48.738095238095234, 2.0004)]
3	1	0.4	[(65.08333333333333, 1.0005), (70.08333333333333, 1.0004), (50.166666666666664, 2.0004)]
3	1	0.5	[(78.08333333333333, 1.0005), (84.08333333333333, 1.0004), (52.166666666666664, 2.0004)]
3	1	0.6	[(97.58333333333333, 1.0005), (105.08333333333333, 1.0004), (55.166666666666664, 2.0004)]
3	1	0.7	[(130.08333333333334, 1.0005), (140.08333333333334, 1.0004), (60.16666666666666, 2.0004)]
3	1	0.8	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (70.16666666666666, 2.0004)]
3	1	0.9	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (71.41666666666667, 2.0004)]
3	1	1	[(195.08333333333334, 1.0005), (210.08333333333334, 1.0004), (71.41666666666667, 2.0004)]
