allStations	lanes4Bus	pCongFixed	Result
1	0	0	63.1666666667
1	0	0.1	66.8333333333
1	0	0.2	70.1666666667
1	0	0.3	70.1666666667
1	0	0.4	70.1666666667
1	0	0.5	70.1666666667
1	0	0.6	70.1666666667
1	0	0.7	70.1666666667
1	0	0.8	70.1666666667
1	0	0.9	70.1666666667
1	0	1	70.1666666667
1	1	0	63.1666666667
1	1	0.1	66.8333333333
1	1	0.2	70.1666666667
1	1	0.3	70.1666666667
1	1	0.4	70.1666666667
1	1	0.5	70.1666666667
1	1	0.6	70.1666666667
1	1	0.7	70.1666666667
1	1	0.8	70.1666666667
1	1	0.9	70.1666666667
1	1	1	70.1666666667
2	0	0	40.6666666667
2	0	0.1	45.1666666667
2	0	0.2	49.5416666667
2	0	0.3	50.880952381
2	0	0.4	52.6666666667
2	0	0.5	55.1666666667
2	0	0.6	58.9166666667
2	0	0.7	65.1666666667
2	0	0.8	77.6666666667
2	0	0.9	115.166666667
2	0	1	195.083333333
2	1	0	40.6666666667
2	1	0.1	44.3333333333
2	1	0.2	47.4166666667
2	1	0.3	47.4166666667
2	1	0.4	47.4166666667
2	1	0.5	47.4166666667
2	1	0.6	47.4166666667
2	1	0.7	47.4166666667
2	1	0.8	47.4166666667
2	1	0.9	47.4166666667
2	1	1	47.4166666667
3	0	0	39.0833333333
3	0	0.1	43.4166666667
3	0	0.2	47.4166666667
3	0	0.3	48.7380952381
3	0	0.4	50.1666666667
3	0	0.5	52.1666666667
3	0	0.6	55.1666666667
3	0	0.7	60.1666666667
3	0	0.8	70.1666666667
3	0	0.9	100.166666667
3	0	1	195.083333333
3	1	0	39.0833333333
3	1	0.1	43.4166666667
3	1	0.2	47.4166666667
3	1	0.3	48.7380952381
3	1	0.4	50.1666666667
3	1	0.5	52.1666666667
3	1	0.6	55.1666666667
3	1	0.7	60.1666666667
3	1	0.8	70.1666666667
3	1	0.9	71.4166666667
3	1	1	71.4166666667
